"x","y","urchin.density.m2"
114.984432,-29.522536,NA
114.984425,-29.522592,NA
114.984407,-29.522656,2.556070705
114.98441,-29.522722,0.850046635
114.984407,-29.522779,0.476826657
114.984418,-29.522856,NA
114.984433,-29.522919,2.962386018
114.984438,-29.522991,1.314253472
114.984445,-29.523057,11.37725166
114.98444,-29.523124,NA
114.98444,-29.523174,0.698288847
114.984425,-29.523236,NA
114.984423,-29.523292,NA
114.984435,-29.523352,NA
114.984445,-29.523421,NA
114.98445,-29.523482,NA
114.984457,-29.523547,NA
114.984462,-29.523601,NA
114.984478,-29.523667,NA
114.984488,-29.523726,NA
114.984493,-29.523784,NA
114.984485,-29.523852,NA
114.984492,-29.523909,NA
114.984485,-29.523977,NA
114.984488,-29.524036,NA
114.98448,-29.524097,NA
114.984463,-29.524166,NA
114.984465,-29.524226,NA
114.984467,-29.524296,NA
114.984477,-29.524372,1.402636197
114.984495,-29.524451,NA
114.98451,-29.524526,NA
114.984513,-29.524587,NA
114.984528,-29.524647,NA
114.984545,-29.524714,NA
114.984558,-29.524779,NA
114.984573,-29.524839,NA
114.984578,-29.524906,NA
114.98459,-29.524972,NA
114.9846,-29.525044,NA
114.984617,-29.525116,NA
114.984642,-29.525186,NA
114.984665,-29.525257,NA
114.984682,-29.525324,NA
114.984703,-29.525394,NA
114.984702,-29.525457,NA
114.9847,-29.525519,NA
114.984693,-29.525597,NA
114.984685,-29.525659,NA
114.984683,-29.525721,NA
114.984683,-29.525787,NA
114.984682,-29.525854,NA
114.984685,-29.525921,NA
114.98468,-29.525999,NA
114.984677,-29.526061,NA
114.984683,-29.526144,NA
114.984682,-29.526214,NA
114.984682,-29.526276,NA
114.984693,-29.526344,NA
114.984692,-29.526412,NA
114.9847,-29.526479,NA
114.984703,-29.526539,NA
114.984703,-29.526586,NA
114.984713,-29.526631,NA
114.98472,-29.526707,NA
114.984715,-29.526762,NA
114.984705,-29.526806,NA
114.984712,-29.526857,NA
114.984702,-29.526926,NA
114.9847,-29.526994,NA
114.9847,-29.527052,NA
114.984705,-29.527124,NA
114.984707,-29.527177,NA
114.984692,-29.527241,NA
114.984687,-29.527304,NA
114.987203,-29.526194,NA
114.987288,-29.526152,NA
114.987347,-29.526109,NA
114.987383,-29.526074,NA
114.987422,-29.526032,NA
114.98745,-29.525987,NA
114.987468,-29.525939,NA
114.987475,-29.525867,NA
114.987467,-29.525804,NA
114.987455,-29.525731,NA
114.987443,-29.525664,NA
114.987428,-29.525602,NA
114.987413,-29.525541,NA
114.987395,-29.525484,NA
114.987375,-29.525432,NA
114.987357,-29.525376,NA
114.987322,-29.525311,NA
114.9873,-29.525247,NA
114.987305,-29.525174,NA
114.987298,-29.525097,NA
114.987297,-29.525026,NA
114.987283,-29.524956,NA
114.987288,-29.524881,NA
114.987273,-29.524812,NA
114.987275,-29.524729,NA
114.98729,-29.524654,NA
114.987298,-29.524576,NA
114.987313,-29.524489,NA
114.987318,-29.524404,NA
114.987323,-29.524322,NA
114.987335,-29.524244,NA
114.987342,-29.524154,NA
114.987355,-29.524079,NA
114.987375,-29.523991,NA
114.987385,-29.523911,NA
114.987407,-29.523839,NA
114.987428,-29.523766,NA
114.987418,-29.523692,NA
114.987403,-29.523611,2.659495298
114.987372,-29.523534,NA
114.987342,-29.523459,1.932584181
114.987325,-29.523386,NA
114.987297,-29.523317,NA
114.987283,-29.523247,NA
114.987277,-29.523189,NA
114.987278,-29.523129,NA
114.987283,-29.523069,NA
114.987282,-29.523019,1.129630869
114.987277,-29.522957,2.896072283
114.987272,-29.522887,NA
114.987258,-29.522816,NA
114.987235,-29.522761,NA
114.987217,-29.522702,NA
114.987197,-29.522649,NA
114.987163,-29.522591,NA
114.987138,-29.522541,NA
114.987118,-29.522491,NA
114.987105,-29.522431,NA
114.987098,-29.522364,NA
114.987102,-29.522299,NA
114.987107,-29.522222,NA
114.9871,-29.522156,NA
114.987107,-29.522082,NA
114.98711,-29.522022,NA
114.987117,-29.521962,NA
114.987125,-29.521892,NA
114.987113,-29.521837,NA
114.987105,-29.521782,NA
114.987098,-29.521719,NA
114.987083,-29.521661,NA
114.987078,-29.521587,NA
114.987073,-29.521526,NA
114.987072,-29.521454,1.683370019
114.987082,-29.521391,4.147306331
114.987083,-29.521322,7.139629077
114.987092,-29.521249,0.77638496
114.987078,-29.521177,1.071048366
114.987063,-29.521106,NA
114.98704,-29.521044,0.631944077
114.987008,-29.520969,NA
114.986977,-29.520887,1.953281691
114.986963,-29.520816,0.932434114
114.986947,-29.520752,NA
114.986953,-29.520686,NA
114.986953,-29.520614,NA
114.986957,-29.520552,NA
114.986963,-29.520492,NA
114.98696,-29.520441,1.827810086
114.986962,-29.520389,NA
114.98696,-29.520329,NA
114.986972,-29.520272,NA
114.98698,-29.520211,NA
114.986995,-29.520152,NA
114.987017,-29.520091,NA
114.98704,-29.520027,1.232171294
114.98706,-29.519969,NA
114.987072,-29.519897,NA
114.98708,-29.519846,NA
114.9871,-29.519789,NA
114.987108,-29.519719,NA
114.987113,-29.519654,NA
114.98712,-29.519594,NA
114.987112,-29.519521,NA
114.987103,-29.519451,NA
114.987102,-29.519374,NA
114.987093,-29.519297,3.169461506
114.987075,-29.519231,1.681080261
114.987043,-29.519164,2.630504171
114.98703,-29.519111,NA
114.987008,-29.519047,NA
114.986995,-29.518984,NA
114.986962,-29.518889,1.237672059
114.986943,-29.518861,NA
114.986947,-29.518846,NA
114.986948,-29.518827,NA
114.986952,-29.518817,NA
114.986967,-29.518809,NA
114.986985,-29.518817,NA
114.987008,-29.518831,NA
114.987025,-29.518841,NA
114.98703,-29.518852,NA
114.987045,-29.518859,NA
114.987053,-29.518844,NA
114.98706,-29.518827,NA
114.987075,-29.518811,NA
114.987078,-29.518797,NA
114.981513,-29.519537,NA
114.981422,-29.519637,NA
114.981322,-29.519742,NA
114.981215,-29.519837,NA
114.981105,-29.519914,NA
114.980983,-29.519967,NA
114.980858,-29.520012,NA
114.980727,-29.520039,NA
114.980593,-29.520049,NA
114.980482,-29.520082,NA
114.980402,-29.520136,NA
114.980372,-29.520191,NA
114.98035,-29.520246,NA
114.980338,-29.520294,NA
114.980328,-29.520326,NA
114.980327,-29.520337,NA
114.980328,-29.520349,NA
114.980328,-29.520362,NA
114.980323,-29.520374,NA
114.98032,-29.520387,NA
114.980315,-29.520407,NA
114.980308,-29.520417,NA
114.9803,-29.520426,NA
114.980285,-29.520437,NA
114.980202,-29.520471,NA
114.980095,-29.520496,NA
114.979982,-29.520496,NA
114.979858,-29.520502,NA
114.97975,-29.520537,NA
114.979643,-29.520589,NA
114.979543,-29.520644,NA
114.979445,-29.520694,NA
114.979368,-29.520741,NA
114.979312,-29.520782,NA
114.979257,-29.520822,NA
114.979215,-29.520852,NA
114.979177,-29.520869,NA
114.979138,-29.520889,0.895309001
114.979085,-29.520902,NA
114.979017,-29.520892,NA
114.978922,-29.520864,NA
114.978838,-29.520841,NA
114.978772,-29.520827,NA
114.978702,-29.520829,NA
114.978623,-29.520846,NA
114.978548,-29.520877,NA
114.978478,-29.520907,NA
114.978403,-29.520936,1.588648882
114.97834,-29.520959,NA
114.978262,-29.520982,NA
114.978187,-29.521016,NA
114.978113,-29.521044,NA
114.978045,-29.521074,NA
114.977982,-29.521119,NA
114.977928,-29.521152,NA
114.977868,-29.521177,NA
114.977795,-29.521199,NA
114.977737,-29.521202,2.505814825
114.977678,-29.521197,NA
114.977612,-29.521192,1.485901901
114.977543,-29.521199,NA
114.977465,-29.521232,NA
114.977403,-29.521269,NA
114.977357,-29.521309,NA
114.977315,-29.521346,NA
114.977263,-29.521384,NA
114.97721,-29.521411,NA
114.97714,-29.521441,NA
114.97707,-29.521461,NA
114.97701,-29.521467,NA
114.97695,-29.521471,NA
114.9769,-29.521486,NA
114.976862,-29.521501,NA
114.976817,-29.521534,NA
114.976785,-29.521569,NA
114.97675,-29.521617,NA
114.976723,-29.521652,NA
114.976685,-29.521696,NA
114.97665,-29.521739,NA
114.976612,-29.521769,NA
114.976563,-29.521802,NA
114.976512,-29.521844,NA
114.97645,-29.521879,NA
114.976392,-29.521906,NA
114.97634,-29.521926,NA
114.97627,-29.521941,NA
114.976203,-29.521964,NA
114.97614,-29.521981,NA
114.97608,-29.522002,NA
114.976025,-29.522017,NA
114.975967,-29.522032,4.750681255
114.975913,-29.522052,NA
114.975868,-29.522071,NA
114.975822,-29.522097,NA
114.975783,-29.522116,NA
114.975747,-29.522146,NA
114.975713,-29.522164,NA
114.975687,-29.522189,NA
114.97566,-29.522211,NA
114.975633,-29.522236,NA
114.975598,-29.522261,NA
114.975553,-29.522279,NA
114.975488,-29.522272,NA
114.975423,-29.522266,NA
114.975348,-29.522261,NA
114.975278,-29.522271,NA
114.975218,-29.522282,NA
114.975162,-29.522311,NA
114.975108,-29.522354,NA
114.975072,-29.522392,NA
114.975032,-29.522432,NA
114.974993,-29.522476,NA
114.974943,-29.522517,NA
114.974885,-29.522559,NA
114.974832,-29.522604,NA
114.974775,-29.522641,NA
114.974707,-29.522676,NA
114.974642,-29.522704,NA
114.974568,-29.522717,NA
114.974518,-29.522734,NA
114.974455,-29.522762,NA
114.974412,-29.522784,NA
114.974355,-29.522812,NA
114.97431,-29.522849,NA
114.974248,-29.522896,NA
114.9742,-29.522929,NA
114.974145,-29.522964,NA
114.974082,-29.522989,NA
114.974022,-29.523006,NA
114.973948,-29.523017,NA
114.973887,-29.523019,NA
114.973822,-29.523007,NA
114.973757,-29.522997,NA
114.973688,-29.522989,NA
114.973628,-29.522992,NA
114.973557,-29.522997,NA
114.973495,-29.523024,NA
114.973437,-29.523067,NA
114.973395,-29.523104,NA
114.973345,-29.523142,NA
114.973283,-29.523169,NA
114.97323,-29.523192,NA
114.973177,-29.523207,NA
114.973125,-29.523224,NA
114.973073,-29.523241,NA
114.973012,-29.523259,NA
114.972953,-29.523276,NA
114.972898,-29.523284,NA
114.972847,-29.523294,NA
114.972792,-29.523297,NA
114.972742,-29.523304,NA
114.972692,-29.523309,NA
114.972632,-29.523311,NA
114.97258,-29.523321,NA
114.972528,-29.523334,NA
114.972498,-29.523346,NA
114.97246,-29.523371,NA
114.972422,-29.523404,NA
114.972393,-29.523436,NA
114.97236,-29.523471,NA
114.972335,-29.523502,NA
114.972302,-29.523526,NA
114.972253,-29.523547,NA
